  Transition        f           A          Lam(A)      i-j    Trans. #

10___-28___     1.280E-03   9.969E+01   1.045E+05     10- 28    243
10___-29___     1.119E-03   8.288E+01   1.035E+05     10- 29    244
10___-30___     9.851E-04   6.939E+01   1.025E+05     10- 30    245
11___-12___     2.381E+00   2.797E+04   6.905E+05     11- 12    246
11___-13___     3.673E-01   1.163E+04   3.883E+05     11- 13    247
11___-14___     1.248E-01   6.182E+03   2.882E+05     11- 14    248
11___-15___     5.872E-02   3.697E+03   2.386E+05     11- 15    249
11___-16___     3.298E-02   2.376E+03   2.091E+05     11- 16    250
11___-17___     2.070E-02   1.605E+03   1.897E+05     11- 17    251
11___-18___     1.402E-02   1.126E+03   1.760E+05     11- 18    252
11___-19___     1.002E-02   8.135E+02   1.659E+05     11- 19    253
11___-20___     7.468E-03   6.023E+02   1.581E+05     11- 20    254
11___-21___     5.745E-03   4.548E+02   1.520E+05     11- 21    255
11___-22___     4.536E-03   3.496E+02   1.471E+05     11- 22    256
11___-23___     3.657E-03   2.727E+02   1.430E+05     11- 23    257
11___-24___     3.001E-03   2.156E+02   1.396E+05     11- 24    258
11___-25___     2.500E-03   1.725E+02   1.368E+05     11- 25    259
11___-26___     2.108E-03   1.394E+02   1.343E+05     11- 26    260
11___-27___     1.798E-03   1.137E+02   1.322E+05     11- 27    261
11___-28___     1.548E-03   9.361E+01   1.304E+05     11- 28    262
11___-29___     1.344E-03   7.765E+01   1.288E+05     11- 29    263
11___-30___     1.175E-03   6.488E+01   1.274E+05     11- 30    264
12___-13___     2.572E+00   1.856E+04   8.873E+05     12- 13    265
12___-14___     3.938E-01   7.880E+03   4.947E+05     12- 14    266
12___-15___     1.330E-01   4.269E+03   3.646E+05     12- 15    267
12___-16___     6.228E-02   2.595E+03   3.000E+05     12- 16    268
12___-17___     3.486E-02   1.692E+03   2.616E+05     12- 17    269
12___-18___     2.182E-02   1.158E+03   2.363E+05     12- 18    270
12___-19___     1.474E-02   8.221E+02   2.184E+05     12- 19    271
12___-20___     1.052E-02   6.002E+02   2.051E+05     12- 20    272
12___-21___     7.825E-03   4.484E+02   1.949E+05     12- 21    273
12___-22___     6.015E-03   3.417E+02   1.868E+05     12- 22    274
12___-23___     4.746E-03   2.648E+02   1.804E+05     12- 23    275
12___-24___     3.824E-03   2.081E+02   1.750E+05     12- 24    276
12___-25___     3.137E-03   1.656E+02   1.706E+05     12- 25    277
12___-26___     2.612E-03   1.333E+02   1.668E+05     12- 26    278
12___-27___     2.203E-03   1.084E+02   1.636E+05     12- 27    279
12___-28___     1.878E-03   8.895E+01   1.608E+05     12- 28    280
12___-29___     1.617E-03   7.359E+01   1.584E+05     12- 29    281
12___-30___     1.404E-03   6.134E+01   1.563E+05     12- 30    282
13___-14___     2.763E+00   1.270E+04   1.118E+06     13- 14    283
13___-15___     4.202E-01   5.493E+03   6.189E+05     13- 15    284
